positnSn,positnNm,positnRgnNm,positnLotnoAddr,positnRdnmAddr,positnPstnAddExpln,positnPstnLat,positnPstnLot,positnIntdcCn,positnCnvncFcltSrvcExpln,prkMthdExpln,monSalsHrExplnCn,tuesSalsHrExplnCn,wedSalsHrExplnCn,thurSalsHrExplnCn,friSalsHrExplnCn,satSalsHrExplnCn,sunSalsHrExplnCn,lhldySalsHrExplnCn,lhldyDyoffCn,tmprLhldyCn,dyoffBgndeCn,dyoffEnddtCn,dyoffRsnExpln,bscTelnoCn,rprsTelnoCn,telnoExpln,indivTelnoCn,lnkgHmpgUrlAddr,indivRelSrchListCn,comRelSrwrdListCn,clctItemCn,etcMttrCn
65,오정동 우리동네 재활용 플랫폼,대덕구,"대전광역시 대덕구 오정동 382-3, 봉촌어린이공원, 중앙경로당",없음,오정우체국에서 도보 3분 (95m) ,36.3515877,127.4142885,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 대덕구 우리동네 재활용 플랫폼입니다.
모인 자원은 100% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.
",,주차장 없음,09:30 ~ 12:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"대전광역시 대덕구 자원순환과(042-608-6362, 6842)",042-608-6362,대전광역시 대덕구 자원순환과,,,"봉촌어린이공원, 중앙경로당","대덕구 자원순환, 대덕 우리동네 재활용 플랫폼,re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
즉석밥용기류
블럭류장난감
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
66,중리동 우리동네 재활용 플랫폼,대덕구,"대전광역시 대덕구 중리동 207-1, 중리동행정복지센터","중리남로 47, 중리동행정복지센터",중리동행정복지센터 주차장,36.3606092,127.426378,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 대덕구 우리동네 재활용 플랫폼입니다.
모인 자원은 109% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.
",,중리동행정복지센터 주차장,휴무,휴무,휴무,09:30 ~ 12:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"대전광역시 대덕구 자원순환과(042-608-6362, 6851)",042-608-6362,대전광역시 대덕구 자원순환과,,,중리동행정복지센터 ,"대덕구 자원순환, 대덕 우리동네 재활용 플랫폼,re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
즉석밥용기류
블럭류장난감
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
67,소각제로가게 마포중앙도서관점,마포구,서울특별시 마포구 성산동 275-3,서울 마포구 성산로 128,"마포구청역 3번출구에서 300M
마포중앙도서관 로비층 옥외주차장",37.563611,126.908611,깨끗하게 세척한 재활용 가능자원을 배출하면 현금으로 전환되는 포인트를 지급해드리는 재활용 중간처리장입니다.,마포중앙도서관 화장실 이용가능,"마포중앙도서관 주차장 이용가능
(30분 이내 무료, 이후 유료)",12:00 ~ 18:00,12:00 ~ 18:00,12:00 ~ 18:00,12:00 ~ 18:00,12:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,서울특별시 마포구 자원순환과(02-3153-9245),02-3153-9245,서울특별시 마포구 자원순환과,없음,,"마포중앙도서관, 1호점","재활용, 분리배출, 소각제로, 자원순환, 마포구청, 소각제로가게, 마포구","투명페트병
플라스틱
알루미늄 캔
철 캔
비닐
종이팩
신문
의류
소주병
맥주병
기타병","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
68,간석2동 주민사랑방,남동구,인천광역시 남동구 간석동 206-6,"남동구 석촌로 13, 간석2동 주민사랑방",간석2동 주민사랑방 외부,37.4617085,126.7089547,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차불가,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2562)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,간석2동 주민사랑방,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
69,간석3동 행정복지센터,남동구,인천광역시 남동구 간석동 49-1,"남동구 용천로 186, 간석3동 행정복지센터","간석3동 행정복지센터, 2층",37.4661284,126.7145937,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차가능(무료),14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2563)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,간석3동 행정복지센터,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
70,간석4동 행정복지센터,남동구,인천광역시 남동구 간석동 575-17,"남동구 벽돌말로19번길 7, 간석4동 행정복지센터",간석4동 행정복지센터 1층,37.4665915,126.700745,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차가능(무료),14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2564)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,간석4동 행정복지센터,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
71,구월2동 자원순환가게,남동구,인천광역시 남동구 구월동 1244-9,남동구 당좌로5번길 15,,37.4565283,126.7173094,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차불가,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2560)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,구월2동 자원순환가게,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
72,두레생협 구월점,남동구,인천광역시 남동구 구월동 6-21,"남동구 용천로88번길 3, 삼정프라자 109호",1층 두레생협 구월점,37.457389,126.7152836,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차불가,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2561)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,두레생협 구월점,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
73,두레생협 논현점,남동구,인천광역시 남동구 논현동 628-7,"남동구 논현남로30번길 3, 두레생협 논현점",1층 두레생협 논현점,37.4033214,126.7236392,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차불가,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2567)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,두레생협 논현점,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
74,두레생협 소래역점,남동구,인천광역시 남동구 논현동 751-1,"남동구 소래역남로16번길 75, 에코메트로3차 더타워상가 지하1층 두레생협 소래역점",에코메트로3차 더타워상가 지하1층 두레생협 소래역점,37.3998392,126.7330035,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,"주차가능(30분 이내 무료, 30분 초과 시 유료)",14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2568)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,두레생협 소래역점,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
75,만수2동 행정복지센터,남동구,인천광역시 남동구 만수동 1116-2,"남동구 만수서로 46, 만수2동 행정복지센터",만수2동 행정복지센터 출입구 옆 외부,37.4613998,126.731154,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차가능(무료),14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2565)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,만수2동 행정복지센터,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
76,장수서창동 행정복지센터,남동구,인천광역시 남동구 서창동 558-2,"남동구 독곡로 28, 장수서창동 행정복지센터",장수서창동 행정복지센터 1층,37.4359222,126.7474037,가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 남동 자원순환가게입니다.,,주차가능(무료),14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,14:00 ~ 18:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,"인천광역시 남동구 청소행정과 자원순환팀(032-453-2564,2566)",032-453-2564,인천광역시 남동구 청소행정과 자원순환팀,,,장수서창동 행정복지센터,"자원순환가게, 남동자원순환가게, 남동구 자원순환가게, 인천이음가게, 인천e음가게, 재활용품 유가보상, 재활용품 보상","(플리스틱류)
무색페트병
유색PET
other
PP
즉석밥용기
블럭류 장난감
(종이류)
종이팩(멸균팩포함)
서적
일반종이
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
77,금창동 자원순환가게 동구마켓,동구,"인천광역시 동구 금곡동 38-2, 금창동 행정복지센터","동구 금곡로36번길 16, 금창동 행정복지센터",금창동 행정복지센터 정문 옆,37.4725237,126.6398094,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 107% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,휴무,휴무,13:00 ~ 17:00,휴무,13:00 ~ 17:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6429),032-770-6422,인천광역시 동구 자원순환과,032-770-5969(금창동 행정복지센터),수퍼빈모아(애플리케이션),금창동 행정복지센터 정문 옆,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
78,만석동 자원순환가게 동구마켓,동구,"인천광역시 동구 만석동 19-2, 만석동 행정복지센터","동구 제물량로 394, 만석동 행정복지센터",만석동 행정복지센터,37.4832487,126.6256724,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 100% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,휴무,휴무,13:00 ~ 17:00,휴무,13:00 ~ 17:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6422),032-770-6422,인천광역시 동구 자원순환과,032-770-5768(만석동 행정복지센터),수퍼빈모아(애플리케이션),만석동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
79,만석어린이공원 투명페트병 무인회수기,동구,"인천광역시 동구 만석동 43-13, 만석어린이공원",,만석어린이공원 입구(만석동 테니스장 방면),37.4832591,126.6194971,"라벨이 제거된 깨끗한 투명페트병을 넣으면 현금(1개당=10원)으로 전환할 수 있는 포인트를 드리는 투명페트병 무인회수기입니다.
투명페트병은 의류, 신발 등 고품질 재생연료로 생산이 가능하며, 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.",1인 1일 투입 50개 제한,주차불가(불법 주정차 금지구역),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,,,,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",032-770-6422,인천광역시 동구 자원순환과,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",수퍼빈(https://www.superbin.co.kr/),만석어린이공원 입구,"인천시 동구 자원순환무인회수기,재활용품 보상,투명페트병,분리배출,자원순환,순환경제,재활용",무색페트병(투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
80,송림3·5동 클린하우스 투명페트병 무인회수기,동구,"인천광역시 동구 송림동 26, 송림3·5동 클린하우스","동구 동산로64번길 11, 송림3·5동 클린하우스",송림3·5동 클린하우스(동산고 옆 노상주차장),37.4737009,126.6474726,"라벨이 제거된 깨끗한 투명페트병을 넣으면 현금(1개당=12원)으로 전환할 수 있는 포인트를 드리는 투명페트병 무인회수기입니다.
투명페트병은 의류, 신발 등 고품질 재생연료로 생산이 가능하며, 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.",1인 1일 투입 50개 제한,주차 불가(동산고 옆 노상공영주차장은 거주자 우선 주차구역) ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,,,,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",032-770-6422,인천광역시 동구 자원순환과,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",수퍼빈(https://www.superbin.co.kr/),송림3·5동 클린하우스,"인천시 동구 자원순환무인회수기,재활용품 보상,투명페트병,분리배출,자원순환,순환경제,재활용",무색페트병(투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
81,송림3·5동 자원순환가게 동구마켓,동구,"인천광역시 동구 송림동 342-1, 송림3·5동 행정복지센터","동구 새천년로 72, 송림3·5동 행정복지센터",송림3·5동 행정복지센터,37.4747212,126.6488134,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 105% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,13:00 ~ 17:00,휴무,휴무,13:00 ~ 17:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6427),032-770-5907,인천광역시 동구 자원순환과,032-770-5907(송림3·5동 행정복지센터),수퍼빈모아(애플리케이션),송림3·5동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
82,송림6동 자원순환가게 동구마켓,동구,"인천광역시 동구 송림동 42-37, 송림6동 행정복지센터","동구 샛골로162번길 56, 송림6동 행정복지센터",송림6동 행정복지센터,37.4773519,126.6479689,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 106% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,13:00 ~ 17:00,휴무,휴무,13:00 ~ 17:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6428),032-770-5951,인천광역시 동구 자원순환과,032-770-5951(송림6동 행정복지센터),수퍼빈모아(애플리케이션),송림6동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
83,송림2동 자원순환가게 동구마켓,동구,"인천광역시 동구 송림동 56-77, 송림2동 행정복지센터","동구 안송로6번길 5, 송림2동 행정복지센터",송림2동 행정복지센터,37.4757799,126.6427053,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 104% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간","행정복지센터 지상 주차장(9:00~18:00 업무시간 내 이용가능, 무료)",휴무,휴무,13:00 ~ 17:00,휴무,13:00 ~ 17:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6426),032-770-5886,인천광역시 동구 자원순환과,032-770-5886(송림2동 행정복지센터),수퍼빈모아(애플리케이션),송림2동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
84,솔마루어린이공원 투명페트병 무인회수기,동구,"인천광역시 동구 송현동 179, 솔마루어린이공원",,솔마루어린이공원 입구(송현1·2동 행정복지센터 관용차주차장 방면),37.4766642,126.6352557,"라벨이 제거된 깨끗한 투명페트병을 넣으면 현금(1개당=11원)으로 전환할 수 있는 포인트를 드리는 투명페트병 무인회수기입니다.
투명페트병은 의류, 신발 등 고품질 재생연료로 생산이 가능하며, 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.",1인 1일 투입 50개 제한,솔마루어린이공원 공영주차장(공원 지하) 주차가능(유료주차) ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,,,,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",032-770-6422,인천광역시 동구 자원순환과,"인천광역시 동구 자원순환과(032-770-6422)
관리업체 수퍼빈(1600-6217)",수퍼빈(https://www.superbin.co.kr/),솔마루어린이공원 입구,"인천시 동구 자원순환무인회수기,재활용품 보상,투명페트병,분리배출,자원순환,순환경제,재활용",무색페트병(투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
85,송현1·2동 자원순환가게 동구마켓,동구,"인천광역시 동구 송현동 84-9, 송현1·2동 행정복지센터","동구 솔빛로22번길 2, 송현1·2동 행정복지센터",송현1·2동 행정복지센터 옆,37.4765046,126.6357329,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 103% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",솔마루어린이공원 공영주차장(공원 지하) 주차가능(유료주차) ,09:00 ~ 13:00,휴무,휴무,09:00 ~ 13:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6425),032-770-5835,인천광역시 동구 자원순환과,032-770-5835(송현1·2동 행정복지센터),수퍼빈모아(애플리케이션),송현1·2동 행정복지센터 옆,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
86,화수2동 자원순환가게 동구마켓,동구,"인천광역시 동구 화수동 37-141, 화수2동 행정복지센터","동구 화수안로 42, 화수2동 행정복지센터",화수2동 행정복지센터,37.4843353,126.6301014,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 102% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,13:00 ~ 17:00,휴무,13:00 ~ 17:00,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6424),032-770-5817,인천광역시 동구 자원순환과,032-770-5817(화수2동 행정복지센터),수퍼빈모아(애플리케이션),화수2동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
87,화수1·화평동 자원순환가게 동구마켓,동구,"인천광역시 동구 화평동 186-1, 화수1·화평동 행정복지센터","동구 화도로 41, 화수1·화평동 행정복지센터",화수1·화평동 행정복지센터,37.4815907,126.6299,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 인천자원순환가게 동구마켓입니다.
모인 자원은 101% 재활용을 목표로 하며,
인천자원순환가게는 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 대기공간",행정복지센터 지상 주차장(24시간 무료주차) ,휴무,휴무,13:00 ~ 17:00,휴무,13:00 ~ 17:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,인천광역시 동구 자원순환과(032-770-6423),032-770-5790,인천광역시 동구 자원순환과,032-770-5790(화수1·화평동 행정복지센터),수퍼빈모아(애플리케이션),화수1·화평동 행정복지센터,"인천시 동구 자원순환,인천자원순환가게 동구마켓,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병(투명페트병)
PET(유색)
PP
즉석밥용기 PP
PE, PS, others
장난감류(블럭류)
(종이류)
종이팩(멸균,살균)
서적 및 신문지류
일반 종이류
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
